portugues,tupi_pred
"Eu tenho inclinação a me irritar","xe xe rekó-aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Ser chamado ladrão é característica do homem mau","monhẽaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"lasca de madeira","yby"
"Eu sou pardo","xe xe xe ra'y"
"De modo nenhum os temiminós tiram seus nomes antigos","n'îmoîîmo temiminó oîeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu fiz confusão","xe apîîaî"
"Entrando nos seus antigos corpos, fazendo-os levantar imediatamente","i apé-pyré îaîba, îaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîba"
"Bem nesse momento perdoou a Pilatos","aîe'ypype îaîmo'ã pyáto"
"Como diz o primeiro deles?","mba'epe'epe'aîpa iîaîba?"
"Que puseram sobre sua cabeça?","i apé-pe i apé?"
"ferimentos mútuos","i'anga"
"princípio da compaixão","nhẽpy'aîaîa"
"Nós somos numerosos","i'aîba'e"
"Uma coisa amarga misturaram com vinagre","i'aîba-pe i'aîba"
"Adão, nosso primeiro pai","adã, ore ru ypy"
"Ah, que velhaco!","aîaîaîaîaîaîaîa!"
"Cobrindo-o sua própria mãe, na verdade, com seu véu","i sy-pykûaîba, i moîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîba"
"Elas, certamente, são más","i îe'anga"
"Sucedeu-me uma tormenta","xe-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Detestando seu pecado, a transgressão da palavra de Deus","i apé-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Que espécie de mulher é Santa Maria?","mba'e marã-marã-pypa'e?"
"Eu estou adoentado","xe xe apîîî"
"Não são segundo a quantidade deles os peixes que ele apanha","n'i'i'i'i'i'i i pira i îe'õ"
"Eu tenho palavras desatinadas","xe nhe'ẽ i apé"
"O próprio céu é o que Deus prepara para nós, lugar em que bem coloca nossa felicidade futura","tupã-py'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Apoiamo-nos em ti","îandé nde-pûaî"
"outras aldeias frequentando","i'anga-pyranga"
"Eis que minha alma, lugar de tua vinda, há de estar como teu leito","xe îaîba, nde moîba îaîba îaîba îaîba îaîba îaîba îaîba"
"Suponho eu que ele tenha ido, de fato","xe xe xe xeîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Quando cumprirás isso que tu dizes?","ereîpûaîpe nde rereko'e?"
"Atiça o fogo para o que cozinhas","eîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Trouxe a coragem","aîe'oîa"
"miolo, tutano de osso","m'yûa"
"Estou a ponto de ir Vou daqui a pouquinho","xe xe remõîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Estou assentado torto","xe apytá"
"Ando perdido","xe apé"
"O que vê um homem furtar sem se importar","oîe'i-pe îe'anga'e'i îe'anga"
"Estou derrubado","xe xe apé"
"Eu já estou desvirginada","xe xe remimõ"
"cordão de contas","xe'õ"
"Que ouça, então, alguma coisa, para fazer estar bem sua alma","aîe'e'ypy, mba'e, îepûeraîa îepûera"
"Veio detrás de mim","xe rembe'y"
"Já saíste da grande escuridão","nde resé resé resé"
"Finquei-me, fiz pé firme","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Tenhamos as coisas boas, apartando-as do que é torpe","asé asé i porandé, îaîmoîasé i îaîmoîasé"
"Mas não foste tu, porventura, que te atraíste pelas mulheres?","nde'i nde resé nde resé nde resé nde resé nde resé?"
"Eu sou maior que tu","xe nde resé"
"Disse isso conhecendo o futuro esmagamento dos habitantes daquela cidade chamada Jerusalém","aîe'e'ypype îerûeraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"No seu próprio ombro levanta a cruz","i abápe îaîmoîa-pe îaîmoîa"
"Portanto, nós rezamos aos santos?","îandé, îandé îandé îandé îandé?"
"Como tu és mau!","nde i moîa!"
"Armei os laços","aîmoîaîaîaîa"
"remédio portador de cura","i'anga"
"Fi-lo aos trancos, fi-lo confusamente","aîe'oîaîba'e"
"Mas a ti, sobram-te galinhas e porcos","nde resé, nde resé i kóbûa i porá"
"logo então","i'aî"
"Eu sou fedorento","xe xe xe moîa"
"Curou-o, somente tocando sua orelha, imediatamente fazendo-a sarar, grudando-a","oîasó, i rusu-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"por ali, por aí","aîe'ẽ"
"Eu estava-me, mesmo, esquecendo e não querendo omiti-lo","xe apytá, xe apytá, xe apytá"
"Que eu faça brilhar a face escura de Deus para minha alma","aîaîmoîaîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Ainda que estivessem presentes as coisas de alguém na prisão","i îe'õpe îandé i gûeraîapó îapó"
"Que não aconteça de alguma coisa te deixar ignorante","nde'i nde resé nde resé nde resé"
"a que é alforriada","i îaîba"
"quando a ave bate asas","ybype oîaîaî"
"Há de ser o substituto de meu pai","xe xe xe ru'y moîaîba"
"Vai para prová-los, para que pratiquem maus atos","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Foste para revistar as cisternas de água doce de alguém, tomando seu conteúdo?","ereîmoîpûeraîpe îaîba y-karaîba resé, îaîba'e'i?"
"Que sejamos corajosos, sim","t'aîmoîasé, îe"
"Não! Estou bêbado","xe moîa"
"Consola-te muito, enfim, após tua saída da escuridão, da aflição de tua alma","nde resé nde resé, nde resé resé nde resé resé resé resé, nde resé resé resé resé"
"Fui na direção do meio das águas","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"por meio da oração","aîepé"
"Eu sou um homem vadio","xe xe xe xe ra'y"
"Não te convém o riso, não te fica bem o riso","nde resé nde resé nde resé nde resé nde resé nde resé"
"A lua foi comida","yby'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"o que te põe a nu","nde resé"
"Enfim, os moços escondem seus muito maus procedimentos","i'angaîba, moîasûa îaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"Como seus atos passados serão a causa de vós o derrubardes?","i apó-pûeraîba îe'angape îe'angape îe'anga?"
"Vem no dia de nossa terra, para visitá-la","t'oîe'o îandé, îandé oîe'o"
"o que eu ensinei","xe mbo'e"
"Ah, um homem pecador há de ter mais coisas boas que eu!","xe-gûeraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Enxuguei-o","aîmoîaî"
"convidando os homens todos","aîeîmoîaîba"
"o que tem corpo, o que é corpóreo","i îe'anga, i îe'anga"
"Que vá toda a minha doença para longe de minha alma","xe rekóba xe resé îandé xe îaîba"
"o que tem fama, o que é famoso","i réîba, i réîba"
"Aproxima-se minha ida","xe ybyby"
"O vão entre minhas pernas","xe py'a-py'a"
"folha tenra","yby"
"Mostrando-lhe uma certa árvore que estava no meio do seu jardim","aîe'ypy'a-pe i yképe i yképe"
"Não serão somente poucos anos, mas para sempre","nd'oîmoîasé îaraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Usaste feitiço para que não viessem?","nde'iîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Aprende acerca da palavra de Deus, em que crerá","tupã rembi'e-py aîe'ypy"
"Todo seu sangue fazendo derramar","i rusu-pykûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"de fora, do lado da rua","yképe, yképe"
"os restos de nossos pecados","nhane angapy'a-py"
"Mas quem entregou os índios como coisas vossas?","aîpe îaîpe'aîpe îandé îaîpe?"
"Daqui a pouquinho castigo-o","aîe'ypy'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"O cauim transbordante nas igaçabas, depois disso, os atrai, e, igualmente, as cuias das velhas","ygarába-pe ka'i, aîe'õpe, i îapûa, i îaîe'õ, i îaîe'õba'e'y"
"Peneirei a farinha","aîe'õ-aîe'õ"
"cerca feita de ramas","ybybyba"
"A ti suspiramos, gemendo","nde-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Estareis aflitos hoje","peîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"neste vale, lugar de chorar","ko'ẽ-py, aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Quem não reconheceria ter comido algo bom?","aîpe îaîmoîaîa'e'anga'e'i i'anga?"
"Mas minha sujeira era muita","xe moîaîbaîaîba"
"Cheirei-o","aîe'õ"
"Imediatamente ficaram gritando","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Arrependendo-se de seus pecados, deplorando-os","i sy'aîba îe'anga, îe'anga"
"Nossas casas estão estabelecidas uma junto da outra","ore koty-kûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Honrando-te mais que a todas as mulheres","nde resé resé resé resé resé resé"
"morrendo eu","xe rekó"
"Confessaste-te antes de nascer teu filho?","nde ra'y resé nde ra'y resé nde resé nde resé nde resé?"
"Puni-o","aîmoîa"
"colar de ouro","i-aranga"
"Afligiu-se por se ter frustrado sua ida","i îaîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Fez vir outrora alguma coisa boa do céu para seus discípulos?","i'e'ypype îaîmoîaîpe îaîmoîaîba îaîmoîaîba i mbo'e'ypype?"
"Eu, o diabão assado, o que tem nome Guaixará, o que é afamado por aí","xe, abá-pe, gûáîasá, gûáîasá"
"Eu caí de sono","xe xe xe py'a"
"Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo","i moîasûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Quem são os que rogam por nós a Deus?","má'e-pe îandé îandé îandé?"
"Por sua maldade, todos os homems destrói","i moîasé, opa homem-moîasé"
"Ah, bem feito para ele!","aîîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Estragaste as coisas de teu próximo?","ereîmoîîaîaîe nde resé?"
"Eis que ela é minha companheira","xe moîaîba"
"Separemos os que assim procederam","aîmoîasó-pe îaîmoîasûa"
"Pronto, meu senhor, voei","xe porandé, xe xe xe xe xe xe xe"
"o que tem pênis, macho","i'ypóî"
"Permaneço seu guardião","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Cheguei","aîe'î"
"Por acaso arrancaram sua roupa, fazendo-o estar nu?","i'aîba'epe îaîba'e i apé, i moîba'e?"
"Ao se aproximar o doente de sua agonia, que mande chamar o padre, o que põe o óleo bento","i apó-aîba'e-aîba'e, îaîba'e-aîba'e, îaîba'e-aîba'e"
"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes","xe mbo'e-pyré îe'õ-pyré îaîmoîa-pe gûaraîoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Ainda bem que morreu","i'aîaîaîaîaîaîa"
"Enfeitaste-te, pintando-te, tendo desejos carnais?","nde resé, nde resé, nde rekó-kûa?"
"Ah, quem me dera comer veneno para que eu morresse!","xe xe xe moîa'e xe moîa'e!"
"E a aproximação do parto de uma grávida não é causa de se ter medo também?","aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aî"
"Não pode alguém casar-se com seu parente verdadeiro?","nd'e'ipe'aîpe îe'õpe îaîba'e i moîba'e?"
"Segundo a vontade de Deus","tupã rembipotá"
"Aceitaste suas palavras ao dar ordens a ti para alguma coisa boa?","nde rerekoîaîba îe'anga nde resé resé nde resé?"
"Eu tenho diarréia","xe xe yké"
"Eu sou curvadinho","xe xe xe mokó"
"Meus pés escorregaram","xe py-pyrá"
"Mandei um homem em busca de pindoba","aîe'õpe îandé pindoba"
"Muito devagar ele o mata","iîasé îaîmoîa"
"Sob tuas mãos estamos, em ti apoiando-nos","nde pópe îandé, nde pûaîpe îandé"
"Será que é um morcego?","i'ypó?"
"Quebra-se muitas vezes","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Estando de cor preta","i-karaîa"
"menor ainda que eu","xe-gûeraîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"É bonita esta igreja, tendo muitos adornos!","i poraka'e kó tupã, i apé i moîasé!"
"Vem, espantando o diabo, para não nos vencer","oîe'o, îaîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"se eu arrotar","xe apé"
"ao te trespassar o vento","nde resé resé"
"É discreta, falando aos homens","i îe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"o que quer mal, o que detesta","i îe'anga, i îe'anga"
"Pus o sapato","aîaîaîaîa"
"quebrador de pedras","ybybyba"
"Viram somente muitas chamas, parecidas com nossas línguas","oîe'i i îaîba'e, îaîba'e îaîba'e"
"O que não foi morto","n'eîmoîasé"
"Eles se tratam uns aos outros como semelhantes por causa de sua irmandade","oîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"mais para cá","aîe'anga"
"miolos de cabeça","i apyrã"
"Abraçaste alguma mulher?","ereîmoîîaîba'e?"
"ajuntamento de aldeias","i atã-pyranga"
"São Pedro puxou a espada, cortando sua orelha","san pedro oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Fiquei-a beliscando","aîe'i"
"o assar do pão","mbu'a-pûa"
"Que estejamos perto de ti, espantando nossos inimigos","nde renhẽ-py îandé, îandé îandé"
"Tu foste chocarreira, estando deitada sobre teu próximo?","nde resé, nde resé resé nde resé resé resé?"
"Vem para me adornar","xe moîaîba"
"Ali assando-os e comendo-os","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu sou pontudo","xe xe apîîî"
"Morreríamos certamente antes que contasse para as pessoas o que viu","i'e'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Olhaste também com desejo para a vagina de alguma?","ereîmoîasûaîpe nde resé nde resé?"
"E os cristãos transgressores da palavra de Deus, que lhes sucede?","tupã rembi'u-pûaîara-pûaîara, mba'eîpa iîaîba'e?"
"Eu sou redondo","xe xe xe xe'y"
"refletindo sobre suas maldades","i apé-pûaîba"
"Eu sou redondo","xe xe xe xe'y"
"As namoradas me amavam","xe nhẽ-marãîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Hei de cobrir-te","xe nde resé"
"Querendo ser servo de Deus somente","tupã-mbarekó-mbarekó"
"Haveria de morrer, na verdade, antes de se batizar","i îe'oîaîbaîaîbaîaîbaîaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaî"
"Arrependeu-se, depois disso, de ter comido aquele fruto?","i'e'îpe'aîpe'aîpe îaîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aîpe'aî?"
"Compadece-te de nós","nde resé îandé"
"Ó! Isso não seria possível contar, ainda que o sol se pusesse!","xe'e! xe'e'y aîe'ype'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Em troca de sua criação, dei-lhe outra","i apó-pe îaîmoîaîba îaîmoî"
"Onde Deus está?","tupã mo'anga?"
"Apesar de que sejas rainha, apesar de que sejam muitos os teus servos, eu, não obstante, pesco para ti","nde ru'yîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîbaîba"
"mau ar","yby"
"Eis que estou à vista de Deus","aîe'anga tupã renhẽ"
"Já tinha dado Judas aos judeus o meio de reconhecer Nosso Senhor?","aîmoîmoîaba'eûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû"
"Aonde chegaram com Nosso Senhor, enfim?","mba'epe i îandé îandé îandé îandé?"
"Não se cansam de pedir a Deus pelos que os resgataram","n'oîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"vasilha de sal","yby"
"Eu não queria vir , irando os homens brancos","xe n'îîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Não sei","xe rekó"
"Eu estou atolado","xe apé"
"Qual é a causa de nossa alegria, então?","mba'e-pe îandé îandé îandé?"
"Não dormi, absolutamente, para procurá-los","nd'e'îmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Acreditai um pouco mais nele","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Como se eu fosse","xe xeîaî"
"espinhas do rosto","ybyba"
"Espevitei-o","aîe'i"
"Dar de comer aos famintos","oîmoîaîukûera"
"Outrora, passando por cima dela, eu fui causa de te fazer agir","aîpe, aîe'ypype, xe xe xe resé nde resé"
"Tenhamos, de fato, as coisas boas, apartando-as do que é mau","asé îandé, asé, mba'e porasé, îandé i moîasé"
"Por que ele vive tendo coisas boas mais que eu?","mba'epópe îaîmoîaîba'e xe rekópe?"
"No ventre de uma moça gerando-se como uma criança","kunhemimbo'e yképe îandé îandé"
"A que ingere uma poção, querendo matar seu feto","o'y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y-y"
"boquitorto, homem da boca torta","i'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Que venha para nos ajudar meu irmão mais moço","t'oîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Será que é por isso que Deus transformou a costela de nosso pai primeiro no corpo de sua esposa?","tupã-pe îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îandé îand"
"Curaste os doentes","nde resé-boîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Estou como mensageiro","xe maranduhára"
"Lançaste algum menino que estava aconchegado a ti sobre ti por desejo sensual?","nde resé nde py'a-py nde py'a-py nde py'a-py nde py'a-py nde py'a-py nde py'a-py?"
